customer_name,customer_type,customer_group,territory,default_currency,email_id,mobile_no,website,industry,market_segment,account_manager,customer_details,tax_id,lead_name,payment_terms,language,customer_primary_contact,customer_primary_address
Abersham Instruments,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Ainsworth Bioanalytics,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Aldergrove BioSolutions,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Alderway BioResearch,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Aldringham Genomics,Company,Life Sciences,United States,USD,,,,,,Kevin Rasmussen,,,,,,,
Amberline Research,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Ambleside Diagnostics,Company,Life Sciences,United States,USD,,,,,,Deirdre O'Sullivan,,,,,,,
Arcanum Biotech,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Ashcombe Analytical,Company,Life Sciences,United States,USD,,,,,,Deirdre O'Sullivan,,,,,,,
Ashcombe Diagnostics,Company,Life Sciences,United States,USD,,,,In-vitro diagnostics,,,Thornfield native,,,,,,
Ashcroft BioPharma,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Ashford Scientific Instruments,Company,Life Sciences,United States,USD,,,,,,Sofia Bergen,Inherited — Bramwell,,,,,,
Ashgrove Biolabs,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Ashland Reagent Group,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Ashmere BioLabs,Company,Life Sciences,United States,USD,,,,,,Colin Ashworth,,,,,,,
Aster Diagnostics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Barrowfield Biolabs,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Beckhurst Pharma Services,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Beckley Molecular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Belhurst Sciences,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Bellamy Instruments,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Bellhaven Molecular,Company,Life Sciences,United States,USD,,,,,,Priscilla Choi,,,,,,,
Belmont Assay Systems,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Belvoir Instruments,Company,Life Sciences,United States,USD,,,,,,Deirdre O'Sullivan,,,,,,,
Blackthorn Reagent Systems,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Blackwood Reagents,Company,Life Sciences,United States,USD,,,,,,Colin Ashworth,,,,,,,
Blyth Analytical,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Brackenhill Instruments,Company,Life Sciences,United States,USD,,,,,,Colin Ashworth,,,,,,,
Brackenwood Diagnostics,Company,Life Sciences,United States,USD,,,,Clinical diagnostics,,,Thornfield native,,,,,,
Bracknell Instruments,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Braemar Life Sciences,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Kestrelbrook Diagnostics,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Halstead Biosystems,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Merrivale Reagents,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Camberwell Analytics,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Longfield Instruments,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Threlkeld Scientific,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Ellenshaw Bio,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Ostberg Sequencing,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Fairholme Diagnostics,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Cornbrook Reagents,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Caldwell Diagnostics,Company,Life Sciences,United States,USD,,,,In-vitro diagnostics,,James Fitzpatrick,Thornfield native,,,,,,
Camborne Sciences,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Caraway Diagnostics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Cardiff Life Sciences,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Cavendish Life Sciences,Company,Life Sciences,United States,USD,,,,,,Reid Alderman,Thornfield native,,,,,,
Chatfield Diagnostics,Company,Life Sciences,United States,USD,,,,Molecular diagnostics,,,Inherited — Bramwell,,,,,,
Chetwynd Genomics,Company,Life Sciences,United States,USD,,,,,,Kevin Rasmussen,,,,,,,
Cliffside Instruments,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Coleridge Biotech Marketing,Company,Life Sciences,United States,USD,,,,Diagnostics reagents & controls,,Vanessa Trotter,Inherited — Bramwell,,,,,,
Copperfield Genomics,Company,Life Sciences,United States,USD,,,,,,Kevin Rasmussen,,,,,,,
Coppergate Diagnostics,Company,Life Sciences,United States,USD,,,,Analytical instrumentation (chromatography),,,Thornfield native,,,,,,
Cordwell Lab Systems,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Cormorant Bio,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Cornhill Diagnostics,Company,Life Sciences,United States,USD,,,,Clinical diagnostics,,Cyrus Delacroix,Thornfield native,,,,,,
Corvid Cellular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Cranleigh Bioinstruments,Company,Life Sciences,United States,USD,,,,,,Meredith Halloran,,,,,,,
Cranmere Cell Lines,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Cygnet Analytics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Cypress Cell Systems,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Cypress Vaccines,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Danbury Molecular,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Deepwater Bioanalytics,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Denholm Reagents,Company,Life Sciences,United States,USD,,,,,,James Fitzpatrick,,,,,,,
Draper Reagents,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Draycott Life Sciences,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Draymere Sciences,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Draymoor Sciences,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Draymore Bioinstruments,Company,Life Sciences,United States,USD,,,,,,Meredith Halloran,,,,,,,
Drayton Cell Culture,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Dunstan Bioanalytics,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Eastdale Bio,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Ellensworth Biotech,Company,Life Sciences,United States,USD,,,,,,Meredith Halloran,,,,,,,
Ellersby Bioinstruments,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Ellingham Diagnostics,Company,Life Sciences,United States,USD,,,,,,Nadia Petrov,,,,,,,
Ellisborough Bioinstruments,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Ellisford Biosystems,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
