department_name,company,parent_department
Marketing Operations,"Thornfield Life Sciences Marketing, Inc.",
Finance,"Thornfield Life Sciences Marketing, Inc.",
Legal,"Thornfield Life Sciences Marketing, Inc.",
Creative,"Thornfield Life Sciences Marketing, Inc.",
Paid Media,"Thornfield Life Sciences Marketing, Inc.",
Client Strategy,"Thornfield Life Sciences Marketing, Inc.",
Analytics & Reporting,"Thornfield Life Sciences Marketing, Inc.",
Compliance,"Thornfield Life Sciences Marketing, Inc.",
Marketing Operations,"Bramwell Scientific Marketing, LLC",
Finance,"Bramwell Scientific Marketing, LLC",
Client Strategy,"Bramwell Scientific Marketing, LLC",
Creative,"Bramwell Scientific Marketing, LLC",
Paid Media,"Bramwell Scientific Marketing, LLC",
Analytics & Reporting,"Bramwell Scientific Marketing, LLC",
Compliance,"Bramwell Scientific Marketing, LLC",
