parent,item_code,qty,rate,uom,item_name,description,amount,base_rate,base_amount
OPP-2025-0031 Thistlewood Biosystems,SVC-RETAINER,1,150000.0,Unit,Marketing Services Retainer,Marketing services engagement,150000.0,150000.0,150000.0
OPP-2025-0038 Halberd Genomics,SVC-RETAINER,1,80000.0,Unit,Marketing Services Retainer,Marketing services engagement,80000.0,80000.0,80000.0
OPP-2025-0045 Cormorant Bio,SVC-RETAINER,1,55000.0,Unit,Marketing Services Retainer,Marketing services engagement,55000.0,55000.0,55000.0
OPP-2025-0049 Vesalius Labs,SVC-RETAINER,1,55000.0,Unit,Marketing Services Retainer,Marketing services engagement,55000.0,55000.0,55000.0
OPP-2025-0053 Kensington Diagnostics,SVC-RETAINER,1,35000.0,Unit,Marketing Services Retainer,Marketing services engagement,35000.0,35000.0,35000.0
OPP-2025-0058 Redstone Analytical,SVC-RETAINER,1,35000.0,Unit,Marketing Services Retainer,Marketing services engagement,35000.0,35000.0,35000.0
OPP-2025-0062 Bellamy Instruments,SVC-RETAINER,1,35000.0,Unit,Marketing Services Retainer,Marketing services engagement,35000.0,35000.0,35000.0
OPP-2025-0067 Farnham Biotech,SVC-RETAINER,1,20000.0,Unit,Marketing Services Retainer,Marketing services engagement,20000.0,20000.0,20000.0
OPP-2025-0071 Grantham Sciences,SVC-RETAINER,1,20000.0,Unit,Marketing Services Retainer,Marketing services engagement,20000.0,20000.0,20000.0
OPP-2025-0074 Hollis Diagnostics,SVC-RETAINER,1,20000.0,Unit,Marketing Services Retainer,Marketing services engagement,20000.0,20000.0,20000.0
OPP-2025-0078 Ivory Peak Biosciences,SVC-RETAINER,1,20000.0,Unit,Marketing Services Retainer,Marketing services engagement,20000.0,20000.0,20000.0
OPP-2025-0081 Larchmont Reagents,SVC-RETAINER,1,10000.0,Unit,Marketing Services Retainer,Marketing services engagement,10000.0,10000.0,10000.0
OPP-2025-0086 Marvell Cellular,SVC-RETAINER,1,15000.0,Unit,Marketing Services Retainer,Marketing services engagement,15000.0,15000.0,15000.0
OPP-2025-0089 Ottershaw Instruments,SVC-RETAINER,1,15000.0,Unit,Marketing Services Retainer,Marketing services engagement,15000.0,15000.0,15000.0
OPP-2025-0093 Prescott Life Sciences,SVC-RETAINER,1,15000.0,Unit,Marketing Services Retainer,Marketing services engagement,15000.0,15000.0,15000.0
OPP-2025-0097 Quimby Molecular,SVC-RETAINER,1,15000.0,Unit,Marketing Services Retainer,Marketing services engagement,15000.0,15000.0,15000.0
OPP-2025-0102 Ridgemont Bio,SVC-RETAINER,1,12000.0,Unit,Marketing Services Retainer,Marketing services engagement,12000.0,12000.0,12000.0
OPP-2025-0106 Stanton Biosystems,SVC-RETAINER,1,10000.0,Unit,Marketing Services Retainer,Marketing services engagement,10000.0,10000.0,10000.0
OPP-2025-0110 Tremaine Diagnostics,SVC-RETAINER,1,10000.0,Unit,Marketing Services Retainer,Marketing services engagement,10000.0,10000.0,10000.0
OPP-2025-0114 Uphill Molecular,SVC-RETAINER,1,10000.0,Unit,Marketing Services Retainer,Marketing services engagement,10000.0,10000.0,10000.0
OPP-2025-0118 Verwood Sciences,SVC-RETAINER,1,10000.0,Unit,Marketing Services Retainer,Marketing services engagement,10000.0,10000.0,10000.0
OPP-2025-0122 Whitcombe Reagents,SVC-RETAINER,1,10000.0,Unit,Marketing Services Retainer,Marketing services engagement,10000.0,10000.0,10000.0
OPP-2025-0126 Xanadu Biotech,SVC-RETAINER,1,7000.0,Unit,Marketing Services Retainer,Marketing services engagement,7000.0,7000.0,7000.0
OPP-2025-0129 Yardley Labs,SVC-RETAINER,1,7000.0,Unit,Marketing Services Retainer,Marketing services engagement,7000.0,7000.0,7000.0
OPP-2025-0133 Zenithal Molecular,SVC-RETAINER,1,7000.0,Unit,Marketing Services Retainer,Marketing services engagement,7000.0,7000.0,7000.0
OPP-2025-0136 Aldergrove BioSolutions,SVC-RETAINER,1,7000.0,Unit,Marketing Services Retainer,Marketing services engagement,7000.0,7000.0,7000.0
OPP-2025-0140 Blyth Analytical,SVC-RETAINER,1,7000.0,Unit,Marketing Services Retainer,Marketing services engagement,7000.0,7000.0,7000.0
OPP-2025-0144 Caraway Diagnostics,SVC-RETAINER,1,7000.0,Unit,Marketing Services Retainer,Marketing services engagement,7000.0,7000.0,7000.0
OPP-2025-0148 Draycott Life Sciences,SVC-RETAINER,1,7000.0,Unit,Marketing Services Retainer,Marketing services engagement,7000.0,7000.0,7000.0
OPP-2025-0151 Elmswood Bio,SVC-RETAINER,1,7000.0,Unit,Marketing Services Retainer,Marketing services engagement,7000.0,7000.0,7000.0
OPP-2025-0155 Fenlow Reagents,SVC-RETAINER,1,7000.0,Unit,Marketing Services Retainer,Marketing services engagement,7000.0,7000.0,7000.0
OPP-2025-0159 Girton Molecular,SVC-RETAINER,1,7000.0,Unit,Marketing Services Retainer,Marketing services engagement,7000.0,7000.0,7000.0
OPP-2025-0163 Hargrove Diagnostics,SVC-RETAINER,1,5000.0,Unit,Marketing Services Retainer,Marketing services engagement,5000.0,5000.0,5000.0
OPP-2025-0167 Inglewood Bio,SVC-RETAINER,1,5000.0,Unit,Marketing Services Retainer,Marketing services engagement,5000.0,5000.0,5000.0
OPP-2025-0171 Jasper Cellular,SVC-RETAINER,1,5000.0,Unit,Marketing Services Retainer,Marketing services engagement,5000.0,5000.0,5000.0
OPP-2025-0175 Torrent Molecular,SVC-RETAINER,1,5000.0,Unit,Marketing Services Retainer,Marketing services engagement,5000.0,5000.0,5000.0
OPP-2025-0179 Pinnacle Reagents,SVC-RETAINER,1,5000.0,Unit,Marketing Services Retainer,Marketing services engagement,5000.0,5000.0,5000.0
OPP-2025-0183 Ashcroft BioPharma,SVC-RETAINER,1,5000.0,Unit,Marketing Services Retainer,Marketing services engagement,5000.0,5000.0,5000.0
OPP-2025-0187 Cardiff Life Sciences,SVC-RETAINER,1,5000.0,Unit,Marketing Services Retainer,Marketing services engagement,5000.0,5000.0,5000.0
OPP-2025-0191 Ellsworth Molecular,SVC-RETAINER,1,5000.0,Unit,Marketing Services Retainer,Marketing services engagement,5000.0,5000.0,5000.0
OPP-2025-0195 Bracknell Instruments,SVC-RETAINER,1,5000.0,Unit,Marketing Services Retainer,Marketing services engagement,5000.0,5000.0,5000.0
OPP-2025-0199 Camborne Sciences,SVC-RETAINER,1,5000.0,Unit,Marketing Services Retainer,Marketing services engagement,5000.0,5000.0,5000.0
OPP-2025-0202 Draper Reagents,SVC-RETAINER,1,5000.0,Unit,Marketing Services Retainer,Marketing services engagement,5000.0,5000.0,5000.0
OPP-2025-0203 Eastdale Bio,SVC-RETAINER,1,5000.0,Unit,Marketing Services Retainer,Marketing services engagement,5000.0,5000.0,5000.0
OPP-2025-0205 Fairbrook Labs,SVC-RETAINER,1,5000.0,Unit,Marketing Services Retainer,Marketing services engagement,5000.0,5000.0,5000.0
OPP-2025-0207 Glasson Molecular,SVC-RETAINER,1,5000.0,Unit,Marketing Services Retainer,Marketing services engagement,5000.0,5000.0,5000.0
OPP-2025-0209 Hexworthy Bio,SVC-RETAINER,1,5000.0,Unit,Marketing Services Retainer,Marketing services engagement,5000.0,5000.0,5000.0
OPP-2025-0211 Ipplepen Labs,SVC-RETAINER,1,6000.0,Unit,Marketing Services Retainer,Marketing services engagement,6000.0,6000.0,6000.0
OPP-2025-0213 Kirdford Reagents,SVC-RETAINER,1,6000.0,Unit,Marketing Services Retainer,Marketing services engagement,6000.0,6000.0,6000.0
OPP-2025-0215 Lostwithiel Bio,SVC-RETAINER,1,6000.0,Unit,Marketing Services Retainer,Marketing services engagement,6000.0,6000.0,6000.0
OPP-2025-0217 Mawgan Molecular,SVC-RETAINER,1,6000.0,Unit,Marketing Services Retainer,Marketing services engagement,6000.0,6000.0,6000.0
