parent,reference_doctype,reference_name,total_amount,outstanding_amount,allocated_amount
ACC-PAY-2025-00001,Sales Invoice,ACC-SINV-2025-00001,8500,0,8500
ACC-PAY-2025-00002,Sales Invoice,ACC-SINV-2025-00002,8500,0,8500
ACC-PAY-2025-00003,Sales Invoice,ACC-SINV-2025-00005,12400.0,0,12400.0
ACC-PAY-2025-00004,Sales Invoice,ACC-SINV-2025-00006,12400.0,0,12400.0
ACC-PAY-2025-00005,Sales Invoice,ACC-SINV-2025-00007,12400.0,0,12400.0
ACC-PAY-2025-00006,Sales Invoice,ACC-SINV-2025-00008,6750.0,0,6750.0
ACC-PAY-2025-00007,Sales Invoice,ACC-SINV-2025-00009,7120.0,0,7120.0
ACC-PAY-2025-00008,Sales Invoice,ACC-SINV-2025-00010,3670.0,0,3670.0
ACC-PAY-2025-00010,Sales Invoice,ACC-SINV-2025-00012,9100.0,0,9100.0
ACC-PAY-2025-00012,Sales Invoice,ACC-SINV-2025-00014,18200.0,0,18200.0
ACC-PAY-2025-00013,Sales Invoice,ACC-SINV-2025-00015,10800.0,0,10800.0
ACC-PAY-2025-00015,Sales Invoice,ACC-SINV-2025-00017,9850.0,0,9850.0
ACC-PAY-2025-00016,Sales Invoice,ACC-SINV-2025-00018,10100.0,0,10100.0
ACC-PAY-2025-00017,Sales Invoice,ACC-SINV-2025-00019,9900.0,0,9900.0
ACC-PAY-2025-00018,Sales Invoice,ACC-SINV-2025-00020,4200.0,0,4200.0
ACC-PAY-2025-00019,Sales Invoice,ACC-SINV-2025-00021,4200.0,0,4200.0
ACC-PAY-2025-00020,Sales Invoice,ACC-SINV-2025-00022,4200.0,0,4200.0
ACC-PAY-2025-00021,Sales Invoice,ACC-SINV-2025-00023,11250.0,0,11250.0
ACC-PAY-2025-00023,Sales Invoice,ACC-SINV-2025-00025,12150.0,0,12150.0
ACC-PAY-2025-00025,Sales Invoice,ACC-SINV-2025-00027,13050.0,0,13050.0
ACC-PAY-2025-00027,Sales Invoice,ACC-SINV-2025-00029,8900.0,0,8900.0
ACC-PAY-2025-00028,Sales Invoice,ACC-SINV-2025-00030,8900.0,0,8900.0
ACC-PAY-2025-00029,Sales Invoice,ACC-SINV-2025-00031,9150.0,0,9150.0
ACC-PAY-2025-00030,Sales Invoice,ACC-SINV-2025-00032,11700.0,0,11700.0
ACC-PAY-2025-00031,Sales Invoice,ACC-SINV-2025-00033,12050.0,0,12050.0
ACC-PAY-2025-00032,Sales Invoice,ACC-SINV-2025-00034,6200.0,0,6200.0
ACC-PAY-2025-00034,Sales Invoice,ACC-SINV-2025-00036,14200.0,0,14200.0
ACC-PAY-2025-00035,Sales Invoice,ACC-SINV-2025-00037,14200.0,0,14200.0
ACC-PAY-2025-00036,Sales Invoice,ACC-SINV-2025-00038,14200.0,0,14200.0
ACC-PAY-2025-00037,Sales Invoice,ACC-SINV-2025-00039,6300.0,0,6300.0
ACC-PAY-2025-00038,Sales Invoice,ACC-SINV-2025-00040,6300.0,0,6300.0
ACC-PAY-2025-00039,Sales Invoice,ACC-SINV-2025-00041,6300.0,0,6300.0
ACC-PAY-2025-00040,Sales Invoice,ACC-SINV-2025-00042,9700.0,0,9700.0
ACC-PAY-2025-00042,Sales Invoice,ACC-SINV-2025-00044,10075.0,0,10075.0
ACC-PAY-2025-00044,Sales Invoice,ACC-SINV-2025-00046,10900.0,0,10900.0
ACC-PAY-2025-00046,Sales Invoice,ACC-SINV-2025-00048,8000.0,0,8000.0
ACC-PAY-2025-00047,Sales Invoice,ACC-SINV-2025-00049,8000.0,0,8000.0
ACC-PAY-2025-00048,Sales Invoice,ACC-SINV-2025-00050,8000.0,0,8000.0
ACC-PAY-2025-00049,Sales Invoice,ACC-SINV-2025-00051,5500.0,0,5500.0
ACC-PAY-2025-00050,Sales Invoice,ACC-SINV-2025-00052,5500.0,0,5500.0
ACC-PAY-2025-00051,Sales Invoice,ACC-SINV-2025-00053,5500.0,0,5500.0
ACC-PAY-2025-00052,Sales Invoice,ACC-SINV-2025-00054,13600.0,0,13600.0
ACC-PAY-2025-00053,Sales Invoice,ACC-SINV-2025-00055,13900.0,0,13900.0
ACC-PAY-2025-00054,Sales Invoice,ACC-SINV-2025-00056,7100.0,0,7100.0
ACC-PAY-2025-00056,Sales Invoice,ACC-SINV-2025-00058,10250.0,0,10250.0
ACC-PAY-2025-00057,Sales Invoice,ACC-SINV-2025-00059,10250.0,0,10250.0
ACC-PAY-2025-00058,Sales Invoice,ACC-SINV-2025-00060,10600.0,0,10600.0
ACC-PAY-2025-00059,Sales Invoice,ACC-SINV-2025-00061,15360.0,0,15360.0
ACC-PAY-2025-00060,Sales Invoice,ACC-SINV-2025-00062,15360.0,0,15360.0
ACC-PAY-2025-00061,Sales Invoice,ACC-SINV-2025-00063,15360.0,0,15360.0
ACC-PAY-2025-00062,Sales Invoice,ACC-SINV-2025-00064,12400.0,0,12400.0
ACC-PAY-2025-00064,Sales Invoice,ACC-SINV-2025-00066,12600.0,0,12600.0
ACC-PAY-2025-00066,Sales Invoice,ACC-SINV-2025-00068,9466.66,0,9466.66
ACC-PAY-2025-00067,Sales Invoice,ACC-SINV-2025-00069,9466.67,0,9466.67
ACC-PAY-2025-00069,Sales Invoice,ACC-SINV-2025-00071,7650.0,0,7650.0
ACC-PAY-2025-00070,Sales Invoice,ACC-SINV-2025-00072,7650.0,0,7650.0
ACC-PAY-2025-00071,Sales Invoice,ACC-SINV-2025-00073,7650.0,0,7650.0
ACC-PAY-2025-00072,Sales Invoice,ACC-SINV-2025-00074,9300.0,0,9300.0
ACC-PAY-2025-00073,Sales Invoice,ACC-SINV-2025-00075,9300.0,0,9300.0
ACC-PAY-2025-00074,Sales Invoice,ACC-SINV-2025-00076,9300.0,0,9300.0
ACC-PAY-2025-00075,Sales Invoice,ACC-SINV-2025-00077,16400.0,0,16400.0
ACC-PAY-2025-00076,Sales Invoice,ACC-SINV-2025-00078,8550.0,0,8550.0
ACC-PAY-2025-00078,Sales Invoice,ACC-SINV-2025-00080,8950.0,0,8950.0
ACC-PAY-2025-00080,Sales Invoice,ACC-SINV-2025-00082,12000.0,0,12000.0
ACC-PAY-2025-00081,Sales Invoice,ACC-SINV-2025-00083,12000.0,0,12000.0
ACC-PAY-2025-00082,Sales Invoice,ACC-SINV-2025-00084,12000.0,0,12000.0
ACC-PAY-2025-00083,Sales Invoice,ACC-SINV-2025-00085,5900.0,0,5900.0
ACC-PAY-2025-00084,Sales Invoice,ACC-SINV-2025-00086,6200.0,0,6200.0
ACC-PAY-2025-00085,Sales Invoice,ACC-SINV-2025-00087,6500.0,0,6500.0
ACC-PAY-2025-00086,Sales Invoice,ACC-SINV-2025-00088,8750.0,0,8750.0
ACC-PAY-2025-00087,Sales Invoice,ACC-SINV-2025-00089,8750.0,0,8750.0
ACC-PAY-2025-00088,Sales Invoice,ACC-SINV-2025-00090,8750.0,0,8750.0
ACC-PAY-2025-00089,Sales Invoice,ACC-SINV-2025-00091,10650.0,0,10650.0
ACC-PAY-2025-00091,Sales Invoice,ACC-SINV-2025-00093,11075.0,0,11075.0
ACC-PAY-2025-00093,Sales Invoice,ACC-SINV-2025-00095,11500.0,0,11500.0
ACC-PAY-2025-00095,Sales Invoice,ACC-SINV-2025-00097,9600.0,0,9600.0
ACC-PAY-2025-00096,Sales Invoice,ACC-SINV-2025-00098,9600.0,0,9600.0
ACC-PAY-2025-00097,Sales Invoice,ACC-SINV-2025-00099,9600.0,0,9600.0
ACC-PAY-2025-00098,Sales Invoice,ACC-SINV-2025-00100,4800.0,0,4800.0
ACC-PAY-2025-00099,Sales Invoice,ACC-SINV-2025-00101,4800.0,0,4800.0
ACC-PAY-2025-00100,Sales Invoice,ACC-SINV-2025-00102,4800.0,0,4800.0
ACC-PAY-2025-00101,Sales Invoice,ACC-SINV-2025-00103,13200.0,0,13200.0
ACC-PAY-2025-00102,Sales Invoice,ACC-SINV-2025-00104,13200.0,0,13200.0
ACC-PAY-2025-00103,Sales Invoice,ACC-SINV-2025-00105,13200.0,0,13200.0
ACC-PAY-2025-00104,Sales Invoice,ACC-SINV-2025-00106,8140.0,0,8140.0
ACC-PAY-2025-00105,Sales Invoice,ACC-SINV-2025-00107,8470.0,0,8470.0
ACC-PAY-2025-00106,Sales Invoice,ACC-SINV-2025-00108,9350.0,0,9350.0
ACC-PAY-2025-00107,Sales Invoice,ACC-SINV-2025-00109,7400.0,0,7400.0
ACC-PAY-2025-00108,Sales Invoice,ACC-SINV-2025-00110,7400.0,0,7400.0
ACC-PAY-2025-00109,Sales Invoice,ACC-SINV-2025-00111,7650.0,0,7650.0
ACC-PAY-2025-00110,Sales Invoice,ACC-SINV-2025-00112,16900.0,0,16900.0
ACC-PAY-2025-00111,Sales Invoice,ACC-SINV-2025-00113,8700.0,0,8700.0
ACC-PAY-2025-00113,Sales Invoice,ACC-SINV-2025-00115,9100.0,0,9100.0
ACC-PAY-2025-00115,Sales Invoice,ACC-SINV-2025-00117,10800.0,0,10800.0
ACC-PAY-2025-00116,Sales Invoice,ACC-SINV-2025-00118,10800.0,0,10800.0
ACC-PAY-2025-00117,Sales Invoice,ACC-SINV-2025-00119,10800.0,0,10800.0
ACC-PAY-2025-00118,Sales Invoice,ACC-SINV-2025-00120,6000.0,0,6000.0
ACC-PAY-2025-00119,Sales Invoice,ACC-SINV-2025-00121,6000.0,0,6000.0
ACC-PAY-2025-00120,Sales Invoice,ACC-SINV-2025-00122,6000.0,0,6000.0
ACC-PAY-2025-00121,Sales Invoice,ACC-SINV-2025-00123,9500.0,0,9500.0
ACC-PAY-2025-00122,Sales Invoice,ACC-SINV-2025-00124,9750.0,0,9750.0
ACC-PAY-2025-00123,Sales Invoice,ACC-SINV-2025-00125,10000.0,0,10000.0
ACC-PAY-2025-00124,Sales Invoice,ACC-SINV-2025-00126,15533.0,0,15533.0
ACC-PAY-2025-00125,Sales Invoice,ACC-SINV-2025-00127,15533.0,0,15533.0
ACC-PAY-2025-00126,Sales Invoice,ACC-SINV-2025-00128,15534.0,0,15534.0
ACC-PAY-2025-00127,Sales Invoice,ACC-SINV-2025-00129,14600.0,0,14600.0
ACC-PAY-2025-00128,Sales Invoice,ACC-SINV-2025-00130,14600.0,0,14600.0
ACC-PAY-2025-00129,Sales Invoice,ACC-SINV-2025-00131,14600.0,0,14600.0
ACC-PAY-2025-00130,Sales Invoice,ACC-SINV-2025-00132,8200.0,0,8200.0
ACC-PAY-2025-00131,Sales Invoice,ACC-SINV-2025-00133,8200.0,0,8200.0
ACC-PAY-2025-00132,Sales Invoice,ACC-SINV-2025-00134,8700.0,0,8700.0
ACC-PAY-2025-00133,Sales Invoice,ACC-SINV-2025-00135,11100.0,0,11100.0
ACC-PAY-2025-00134,Sales Invoice,ACC-SINV-2025-00136,11100.0,0,11100.0
ACC-PAY-2025-00135,Sales Invoice,ACC-SINV-2025-00137,11100.0,0,11100.0
ACC-PAY-2025-00136,Sales Invoice,ACC-SINV-2025-00138,9900.0,0,9900.0
ACC-PAY-2025-00138,Sales Invoice,ACC-SINV-2025-00140,10200.0,0,10200.0
ACC-PAY-2025-00140,Sales Invoice,ACC-SINV-2025-00142,10950.0,0,10950.0
ACC-PAY-2025-00645,Sales Invoice,ACC-SINV-2025-00144,62300.0,0,62300.0
ACC-PAY-2025-00646,Sales Invoice,ACC-SINV-2025-00145,61100.0,0,61100.0
ACC-PAY-2025-00647,Sales Invoice,ACC-SINV-2025-00146,64000.0,0,64000.0
