name,payment_type,posting_date,company,party_type,party,paid_from,paid_from_account_currency,paid_to,paid_to_account_currency,paid_amount,received_amount,reference_no,reference_date
ACC-PAY-2025-00001,Receive,2025-10-01,"Thornfield Life Sciences Marketing, Inc.",Customer,Fenwick Genomics,Debtors,USD,Cash,USD,8500,8500,ACH-FG-OCT2025,2025-10-01
ACC-PAY-2025-00002,Receive,2025-11-03,"Thornfield Life Sciences Marketing, Inc.",Customer,Fenwick Genomics,Debtors,USD,Cash,USD,8500,8500,ACH-FG-NOV2025,2025-11-03
ACC-PAY-2025-00003,Receive,2025-11-15,"Thornfield Life Sciences Marketing, Inc.",Customer,Pennywell Life Sciences,Debtors,USD,Cash,USD,12400.0,12400.0,ACH-0004,2025-11-15
ACC-PAY-2025-00004,Receive,2025-12-15,"Thornfield Life Sciences Marketing, Inc.",Customer,Pennywell Life Sciences,Debtors,USD,Cash,USD,12400.0,12400.0,ACH-0005,2025-12-15
ACC-PAY-2025-00005,Receive,2026-01-12,"Thornfield Life Sciences Marketing, Inc.",Customer,Pennywell Life Sciences,Debtors,USD,Cash,USD,12400.0,12400.0,ACH-0006,2026-01-12
ACC-PAY-2025-00006,Receive,2025-11-15,"Thornfield Life Sciences Marketing, Inc.",Customer,Belhurst Sciences,Debtors,USD,Cash,USD,6750.0,6750.0,ACH-0007,2025-11-15
ACC-PAY-2025-00007,Receive,2025-12-15,"Thornfield Life Sciences Marketing, Inc.",Customer,Belhurst Sciences,Debtors,USD,Cash,USD,7120.0,7120.0,ACH-0008,2025-12-15
ACC-PAY-2025-00008,Receive,2026-01-12,"Thornfield Life Sciences Marketing, Inc.",Customer,Belhurst Sciences,Debtors,USD,Cash,USD,3670.0,3670.0,ACH-0009,2026-01-12
ACC-PAY-2025-00010,Receive,2025-11-15,"Thornfield Life Sciences Marketing, Inc.",Customer,Fairview Reagents,Debtors,USD,Cash,USD,9100.0,9100.0,ACH-0011,2025-11-15
ACC-PAY-2025-00012,Receive,2025-12-15,"Thornfield Life Sciences Marketing, Inc.",Customer,Fairview Reagents,Debtors,USD,Cash,USD,18200.0,18200.0,ACH-0013,2025-12-15
ACC-PAY-2025-00013,Receive,2026-01-12,"Thornfield Life Sciences Marketing, Inc.",Customer,Fairview Reagents,Debtors,USD,Cash,USD,10800.0,10800.0,ACH-0014,2026-01-12
