company_name,company,industry,market_segment,territory,no_of_employees,annual_revenue,website,prospect_owner
Alderman Diagnostics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Argent Molecular,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Ashcroft Assays,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Ashland Genomics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Ashvale Molecular,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Beacon Assay Systems,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Bellwether Reagents,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Bosworth BioScience,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Bramford Scientific,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Brixton Reagents,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Caldwell Diagnostics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Chartwell Instruments,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Coastwise Reagents,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Colvin Reagents,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Corvex Molecular,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Deerfield Molecular,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Delaney BioScience,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Draycott Genomics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Elmwood BioScience,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Enfield Reagents,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Estwick Instruments,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Everglade Diagnostics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Fairhaven Analytical,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Fenland Diagnostics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Ferncliff Diagnostics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Gairloch Analytical,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Glenridge BioLabs,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Halcyon Analytical,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Halewood Diagnostics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Hallmark Molecular,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Harborlight Bio,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Highfield Instruments,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Isley Reagents,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Ivywood Assays,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Jerbrook Diagnostics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Junction Reagents,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Kadence Diagnostics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Kestrel Diagnostics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Keswick Genomics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Kilburn Molecular,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Larkspur Bio,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Ledbury Assays,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Lyndhurst Instruments,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Marston Bio,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Meadowbrook Genomics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Merit BioScience,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Nettleford Bio,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Newbury Instruments,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Northgate BioLabs,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Norwich Bioinstruments,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Oakenwood Diagnostics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Orleans Genomics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Pemberton Diagnostics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Pentworth Molecular,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Quaywater BioLabs,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Quenton BioLabs,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Radial Biosystems,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Ramsey Analytical,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Rowton Reagents,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Sedgwick Reagents,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Selby Instruments,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Silverpine Therapeutics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Sutherland Reagents,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Tavistock Assays,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Thornbury BioScience,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Trellis Molecular,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Underhill Bio,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Vallon Instruments,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Verona Assays,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Whitfield Diagnostics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Willowmere Diagnostics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Windrow Scientific,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Wintergreen BioScience,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Wrenfield Scientific,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Xanthe Instruments,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Yardsley Analytical,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Yorktown Bioscience,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Zenith Bio,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
Zephyr Genomics,"Thornfield Life Sciences Marketing, Inc.",,,,,,,
