parent,item_code,qty,rate,uom
ACC-SINV-2025-00001,SVC-RETAINER,1,8500,Month
ACC-SINV-2025-00001,SVC-PASSTHROUGH-MEDIA,1,0,Unit
ACC-SINV-2025-00001,SVC-PRODUCTION,1,0,Unit
ACC-SINV-2025-00001,SVC-PLATFORM-FEES,1,0,Unit
ACC-SINV-2025-00001,SVC-DATA-LIST,1,0,Unit
ACC-SINV-2025-00001,SVC-TRAVEL,1,0,Unit
ACC-SINV-2025-00001,SVC-CREDIT-MEMO,1,0,Unit
ACC-SINV-2025-00001,SVC-TAX-ADJ,1,0,Unit
ACC-SINV-2025-00002,SVC-RETAINER,1,8500,Month
ACC-SINV-2025-00002,SVC-PASSTHROUGH-MEDIA,1,0,Unit
ACC-SINV-2025-00002,SVC-PRODUCTION,1,0,Unit
ACC-SINV-2025-00002,SVC-PLATFORM-FEES,1,0,Unit
ACC-SINV-2025-00002,SVC-DATA-LIST,1,0,Unit
ACC-SINV-2025-00002,SVC-TRAVEL,1,0,Unit
ACC-SINV-2025-00002,SVC-CREDIT-MEMO,1,0,Unit
ACC-SINV-2025-00002,SVC-TAX-ADJ,1,0,Unit
ACC-SINV-2025-00003,SVC-RETAINER,1,8500,Month
ACC-SINV-2025-00003,SVC-PASSTHROUGH-MEDIA,1,0,Unit
ACC-SINV-2025-00003,SVC-PRODUCTION,1,0,Unit
ACC-SINV-2025-00003,SVC-PLATFORM-FEES,1,0,Unit
ACC-SINV-2025-00003,SVC-DATA-LIST,1,0,Unit
ACC-SINV-2025-00003,SVC-TRAVEL,1,0,Unit
ACC-SINV-2025-00003,SVC-CREDIT-MEMO,1,0,Unit
ACC-SINV-2025-00003,SVC-TAX-ADJ,1,0,Unit
ACC-SINV-2025-00004,SVC-PAID-SOCIAL,-1,4500,Unit
ACC-SINV-2025-00005,SVC-RETAINER,1,12400.0,Month
ACC-SINV-2025-00006,SVC-RETAINER,1,12400.0,Month
ACC-SINV-2025-00007,SVC-RETAINER,1,12400.0,Month
ACC-SINV-2025-00008,SVC-RETAINER,1,6750.0,Month
ACC-SINV-2025-00009,SVC-RETAINER,1,7120.0,Month
ACC-SINV-2025-00010,SVC-RETAINER,1,3670.0,Month
ACC-SINV-2025-00012,SVC-RETAINER,1,9100.0,Month
ACC-SINV-2025-00014,SVC-RETAINER,1,18200.0,Month
ACC-SINV-2025-00015,SVC-RETAINER,1,10800.0,Month
ACC-SINV-2025-00017,SVC-RETAINER,1,9850.0,Month
ACC-SINV-2025-00018,SVC-RETAINER,1,10100.0,Month
ACC-SINV-2025-00019,SVC-RETAINER,1,9900.0,Month
ACC-SINV-2025-00020,SVC-RETAINER,1,4200.0,Month
ACC-SINV-2025-00021,SVC-RETAINER,1,4200.0,Month
ACC-SINV-2025-00022,SVC-RETAINER,1,4200.0,Month
ACC-SINV-2025-00023,SVC-RETAINER,1,11250.0,Month
ACC-SINV-2025-00025,SVC-RETAINER,1,12150.0,Month
ACC-SINV-2025-00027,SVC-RETAINER,1,13050.0,Month
ACC-SINV-2025-00029,SVC-RETAINER,1,8900.0,Month
ACC-SINV-2025-00030,SVC-RETAINER,1,8900.0,Month
ACC-SINV-2025-00031,SVC-RETAINER,1,9150.0,Month
ACC-SINV-2025-00032,SVC-RETAINER,1,11700.0,Month
ACC-SINV-2025-00033,SVC-RETAINER,1,12050.0,Month
ACC-SINV-2025-00034,SVC-RETAINER,1,6200.0,Month
ACC-SINV-2025-00036,SVC-RETAINER,1,14200.0,Month
ACC-SINV-2025-00037,SVC-RETAINER,1,14200.0,Month
ACC-SINV-2025-00038,SVC-RETAINER,1,14200.0,Month
ACC-SINV-2025-00039,SVC-RETAINER,1,6300.0,Month
ACC-SINV-2025-00040,SVC-RETAINER,1,6300.0,Month
ACC-SINV-2025-00041,SVC-RETAINER,1,6300.0,Month
ACC-SINV-2025-00042,SVC-RETAINER,1,9700.0,Month
ACC-SINV-2025-00044,SVC-RETAINER,1,10075.0,Month
ACC-SINV-2025-00046,SVC-RETAINER,1,10900.0,Month
ACC-SINV-2025-00048,SVC-RETAINER,1,8000.0,Month
ACC-SINV-2025-00049,SVC-RETAINER,1,8000.0,Month
ACC-SINV-2025-00050,SVC-RETAINER,1,8000.0,Month
ACC-SINV-2025-00051,SVC-RETAINER,1,5500.0,Month
ACC-SINV-2025-00052,SVC-RETAINER,1,5500.0,Month
ACC-SINV-2025-00053,SVC-RETAINER,1,5500.0,Month
ACC-SINV-2025-00054,SVC-RETAINER,1,13600.0,Month
ACC-SINV-2025-00055,SVC-RETAINER,1,13900.0,Month
ACC-SINV-2025-00056,SVC-RETAINER,1,7100.0,Month
ACC-SINV-2025-00058,SVC-RETAINER,1,10250.0,Month
ACC-SINV-2025-00059,SVC-RETAINER,1,10250.0,Month
ACC-SINV-2025-00060,SVC-RETAINER,1,10600.0,Month
ACC-SINV-2025-00061,SVC-RETAINER,1,15360.0,Month
ACC-SINV-2025-00062,SVC-RETAINER,1,15360.0,Month
ACC-SINV-2025-00063,SVC-RETAINER,1,15360.0,Month
ACC-SINV-2025-00064,SVC-RETAINER,1,12400.0,Month
ACC-SINV-2025-00066,SVC-RETAINER,1,12600.0,Month
ACC-SINV-2025-00068,SVC-RETAINER,1,9466.66,Month
ACC-SINV-2025-00069,SVC-RETAINER,1,9466.67,Month
ACC-SINV-2025-00071,SVC-RETAINER,1,7650.0,Month
ACC-SINV-2025-00072,SVC-RETAINER,1,7650.0,Month
ACC-SINV-2025-00073,SVC-RETAINER,1,7650.0,Month
ACC-SINV-2025-00074,SVC-RETAINER,1,9300.0,Month
ACC-SINV-2025-00075,SVC-RETAINER,1,9300.0,Month
ACC-SINV-2025-00076,SVC-RETAINER,1,9300.0,Month
ACC-SINV-2025-00077,SVC-RETAINER,1,16400.0,Month
ACC-SINV-2025-00078,SVC-RETAINER,1,8550.0,Month
ACC-SINV-2025-00080,SVC-RETAINER,1,8950.0,Month
ACC-SINV-2025-00082,SVC-RETAINER,1,12000.0,Month
ACC-SINV-2025-00083,SVC-RETAINER,1,12000.0,Month
ACC-SINV-2025-00084,SVC-RETAINER,1,12000.0,Month
ACC-SINV-2025-00085,SVC-RETAINER,1,5900.0,Month
ACC-SINV-2025-00086,SVC-RETAINER,1,6200.0,Month
ACC-SINV-2025-00087,SVC-RETAINER,1,6500.0,Month
ACC-SINV-2025-00088,SVC-RETAINER,1,8750.0,Month
ACC-SINV-2025-00089,SVC-RETAINER,1,8750.0,Month
ACC-SINV-2025-00090,SVC-RETAINER,1,8750.0,Month
ACC-SINV-2025-00091,SVC-RETAINER,1,10650.0,Month
ACC-SINV-2025-00093,SVC-RETAINER,1,11075.0,Month
ACC-SINV-2025-00095,SVC-RETAINER,1,11500.0,Month
ACC-SINV-2025-00097,SVC-RETAINER,1,9600.0,Month
