name,customer,company,posting_date,due_date,debit_to,currency,selling_price_list,is_return,grand_total,outstanding_amount,payment_terms_template,status,net_total,total_taxes_and_charges
ACC-SINV-2025-00001,Fenwick Genomics,"Thornfield Life Sciences Marketing, Inc.",2025-10-01,2025-10-31,Debtors,USD,Standard Selling,0,8500,0,,Paid,8500,0
ACC-SINV-2025-00002,Fenwick Genomics,"Thornfield Life Sciences Marketing, Inc.",2025-11-01,2025-11-30,Debtors,USD,Standard Selling,0,8500,0,,Paid,8500,0
ACC-SINV-2025-00003,Fenwick Genomics,"Thornfield Life Sciences Marketing, Inc.",2025-12-01,2025-12-31,Debtors,USD,Standard Selling,0,8500,8500,,Unpaid,8500,0
ACC-SINV-2025-00004,Marlstone Bioscience,"Thornfield Life Sciences Marketing, Inc.",2025-11-22,2025-12-22,Debtors,USD,Standard Selling,1,-4500,0,,Return,-4500,0
ACC-SINV-2025-00005,Pennywell Life Sciences,"Thornfield Life Sciences Marketing, Inc.",2025-10-01,2025-10-31,Debtors,USD,Standard Selling,0,12400.0,0,,Paid,12400.0,0
ACC-SINV-2025-00006,Pennywell Life Sciences,"Thornfield Life Sciences Marketing, Inc.",2025-11-01,2025-11-30,Debtors,USD,Standard Selling,0,12400.0,0,,Paid,12400.0,0
ACC-SINV-2025-00007,Pennywell Life Sciences,"Thornfield Life Sciences Marketing, Inc.",2025-12-01,2025-12-31,Debtors,USD,Standard Selling,0,12400.0,0,,Paid,12400.0,0
ACC-SINV-2025-00008,Belhurst Sciences,"Thornfield Life Sciences Marketing, Inc.",2025-10-01,2025-10-31,Debtors,USD,Standard Selling,0,6750.0,0,,Paid,6750.0,0
ACC-SINV-2025-00009,Belhurst Sciences,"Thornfield Life Sciences Marketing, Inc.",2025-11-01,2025-11-30,Debtors,USD,Standard Selling,0,7120.0,0,,Paid,7120.0,0
ACC-SINV-2025-00010,Belhurst Sciences,"Thornfield Life Sciences Marketing, Inc.",2025-12-01,2025-12-31,Debtors,USD,Standard Selling,0,3670.0,0,,Paid,3670.0,0
ACC-SINV-2025-00012,Fairview Reagents,"Thornfield Life Sciences Marketing, Inc.",2025-10-01,2025-10-31,Debtors,USD,Standard Selling,0,9100.0,0,,Paid,9100.0,0
ACC-SINV-2025-00014,Fairview Reagents,"Thornfield Life Sciences Marketing, Inc.",2025-11-01,2025-11-30,Debtors,USD,Standard Selling,0,18200.0,0,,Paid,18200.0,0
ACC-SINV-2025-00015,Fairview Reagents,"Thornfield Life Sciences Marketing, Inc.",2025-12-01,2025-12-31,Debtors,USD,Standard Selling,0,10800.0,0,,Paid,10800.0,0
ACC-SINV-2025-00017,Silverbrook Bioscience,"Thornfield Life Sciences Marketing, Inc.",2025-10-01,2025-10-31,Debtors,USD,Standard Selling,0,9850.0,0,,Paid,9850.0,0
ACC-SINV-2025-00018,Silverbrook Bioscience,"Thornfield Life Sciences Marketing, Inc.",2025-11-01,2025-11-30,Debtors,USD,Standard Selling,0,10100.0,0,,Paid,10100.0,0
ACC-SINV-2025-00019,Silverbrook Bioscience,"Thornfield Life Sciences Marketing, Inc.",2025-12-01,2025-12-31,Debtors,USD,Standard Selling,0,9900.0,0,,Paid,9900.0,0
ACC-SINV-2025-00020,Beckhurst Pharma Services,"Thornfield Life Sciences Marketing, Inc.",2025-10-01,2025-10-31,Debtors,USD,Standard Selling,0,4200.0,0,,Paid,4200.0,0
ACC-SINV-2025-00021,Beckhurst Pharma Services,"Thornfield Life Sciences Marketing, Inc.",2025-11-01,2025-11-30,Debtors,USD,Standard Selling,0,4200.0,0,,Paid,4200.0,0
ACC-SINV-2025-00022,Beckhurst Pharma Services,"Thornfield Life Sciences Marketing, Inc.",2025-12-01,2025-12-31,Debtors,USD,Standard Selling,0,4200.0,0,,Paid,4200.0,0
ACC-SINV-2025-00023,Farnsley Diagnostics,"Thornfield Life Sciences Marketing, Inc.",2025-10-01,2025-10-31,Debtors,USD,Standard Selling,0,11250.0,0,,Paid,11250.0,0
ACC-SINV-2025-00025,Farnsley Diagnostics,"Thornfield Life Sciences Marketing, Inc.",2025-11-01,2025-11-30,Debtors,USD,Standard Selling,0,12150.0,0,,Paid,12150.0,0
ACC-SINV-2025-00027,Farnsley Diagnostics,"Thornfield Life Sciences Marketing, Inc.",2025-12-01,2025-12-31,Debtors,USD,Standard Selling,0,13050.0,0,,Paid,13050.0,0
ACC-SINV-2025-00029,Steeplechase Diagnostics,"Thornfield Life Sciences Marketing, Inc.",2025-10-01,2025-10-31,Debtors,USD,Standard Selling,0,8900.0,0,,Paid,8900.0,0
ACC-SINV-2025-00030,Steeplechase Diagnostics,"Thornfield Life Sciences Marketing, Inc.",2025-11-01,2025-11-30,Debtors,USD,Standard Selling,0,8900.0,0,,Paid,8900.0,0
